"tp_title","tpf_title","tcd_title","nwp_tc_id","nwp_title","val_env","automation","nwp_cmd","dmr_cmd","all_dmr_cmds","tr_count","dmr_tr_date"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Demotion/Undemotion","CStates: C6/C1 Demotion/Undemotion Configuration","22022423086","CStates: Demotion/Undemotion: CLOCK_CST_CONFIG_CONTROL_MSR(0XE2) silicon","virtual_platform","no","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2026-01-14"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Demotion/Undemotion","CStates: C6/C1 Demotion/Undemotion Configuration","22022423087","CStates: Demotion: Acode interaction_silicon","virtual_platform","no","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","3","2026-06-25"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Module C-States (Core→Module)","CStates MC6 residency counter","22022423069","CState Entry Actions: Verify flow MC6","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","2","2025-09-24"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Module C-States (Core→Module)","CStates MC6 residency counter","22022423081","CStates MC6 residency counter  and flow check","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","2","2025-08-30"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Cross Products & PMX","PMX","22022423106","PMX ccx_test","virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","7","2025-09-20"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Cross Products & PMX","Solar","22022423108","[Solar] CStates - CStates_AnyCore -- Exercise","silicon,virtual_platform","yes","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6  -mode e /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6  -mode e /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6  -mode e /logpath . /log_ip_disables | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","11","2026-03-22"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Cross Products & PMX","Solar","22022423109","[Solar] CStates - CStates_AnyCore_Random -- Exercise","virtual_platform","yes","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode e /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode e /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode e /logpath . /log_ip_disables | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","10","2026-03-31"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Cross Products & PMX","Solar","22022423110","[Solar] CStates - CStates_AnyCore_Random -- Verify","virtual_platform","yes","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode v /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode v /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -r -mode v /logpath . /log_ip_disables | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","10","2026-03-23"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] C-State Cross Products & PMX","Solar","22022423113","[Solar]_CStates-CStates_AnyCore--Verify","virtual_platform","yes","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -mode v /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -mode v /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cstate -scope 0:0:100 -states C1,C6 -mode v /logpath . /log_ip_disables | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","16","2026-06-30"
"[NWP PM] P-State / HWP (PNC Core)","Pstate Legacy","Legacy Pstate Bios cofigurations","22022422219","Legacy Pstate Bios cofigurations","virtual_platform","yes","flexcon","thermalManagement.py","thermalManagement.py","1","2024-12-03"
"[NWP PM] P-State / HWP (PNC Core)","Pstate Legacy","Legacy Pstate Interfaces","22022422222","Core Pstates through PEGA","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pstates_check -tM 6","pm.Active_PM.Pstate_Stack.pstates.py","pm.Active_PM.Pstate_Stack.pstates.py | thermalManagement.py","2","2026-01-16"
"[NWP PM] P-State / HWP (PNC Core)","Pstate Legacy","Legacy Pstate Interfaces","22022422224","Legacy_Pstate_through_MSR","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pstates_check -tM 6","runPmx.py -x dmr.xml -p pstates_check -tM 6","pm.Active_PM.Pstate_Stack.pstates.py | python3 /usr/lib/python3/dist-packages/diamondrapids/pm/pmx/runPmx.py -x dmr.xml -p pstates_check -tM 6 | runPmx.py -x dmr.xml -p pstates_check -tM 6 | thermalManagement.py","28","2026-07-01"
"[NWP PM] P-State / HWP (PNC Core)","Pstate Legacy","Legacy Pstate Scenarios","22022422228","Legacy Pstate Scenarios: core random frequency with traffic","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pstates_check -p cpu_traffic -tM 6","runPmx.py -x dmr.xml -p pstates_check -p cpu_traffic -tM 6","pstates.py | runPmx.py -x dmr.xml -p pstates_check -p cpu_traffic -tM 6 | thermalManagement.py","25","2026-07-01"
"[NWP PM] P-State / HWP (PNC Core)","Pstate Legacy","Legacy Pstate Scenarios","22022422238","PEGA Core/Mesh frequency at max/min combinations w/ traffic","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cpu_traffic -p pega_uncore -tM 6","runPmx.py -x dmr.xml -p cpu_traffic -p pega_uncore -tM 6","pega.py | runPmx.py -x dmr.xml -p cpu_traffic -p pega_uncore -tM 6 | thermalManagement.py","25","2026-06-26"
